"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","delete ticket teste","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\delete.spec.js","",""
"","58","post ticket teste Número de assento inválido menor que 0","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\post.spec.js","",""
"","215","put teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\put.spec.js","",""
"","182","delete teste","firefox","Sun Dec 01 20:20:51 BRT 2024","failed","Sun Dec 01 20:20:51 BRT 2024","","movies\delete.spec.js","",""
"","47","post ticket teste Omissão de campos obrigatórios","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","106","delete teste inexistente","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","movies\delete.spec.js","",""
"","120","get teste","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\get.spec.js","",""
"","161","get all teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\get.spec.js","",""
"","110","get all teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","movies\get.spec.js","",""
"","82","put ticket teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\put.spec.js","",""
"","158","delete ticket teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\delete.spec.js","",""
"","92","delete ticket teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\delete.spec.js","",""
"","65","get all teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:55 BRT 2024","","tickets\get.spec.js","",""
"","127","post teste título duplicado","webkit","Sun Dec 01 20:20:54 BRT 2024","failed","Sun Dec 01 20:20:54 BRT 2024","","movies\post.spec.js","",""
"","32","post ticket teste","chromium","Sun Dec 01 20:21:30 BRT 2024","passed","Sun Dec 01 20:21:30 BRT 2024","","tickets\post.spec.js","",""
"","36","post ticket teste Número de assento inválido maior que 99","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","102","get teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","movies\get.spec.js","",""
"","119","put ticket teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\put.spec.js","",""
"","138","put teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\put.spec.js","",""
"","65","post ticket teste Número de assento inválido maior que 99","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","153","delete teste","webkit","Sun Dec 01 20:20:53 BRT 2024","failed","Sun Dec 01 20:20:53 BRT 2024","","movies\delete.spec.js","",""
"","102","post teste","webkit","Sun Dec 01 20:20:54 BRT 2024","failed","Sun Dec 01 20:20:54 BRT 2024","","movies\post.spec.js","",""
"","67","get all teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\get.spec.js","",""
"","118","delete teste inexistente","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\delete.spec.js","",""
"","38","post ticket teste","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","224","post teste título duplicado","chromium","Sun Dec 01 20:21:29 BRT 2024","failed","Sun Dec 01 20:21:29 BRT 2024","","movies\post.spec.js","",""
"","118","get all teste","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\get.spec.js","",""
"","147","post teste","chromium","Sun Dec 01 20:21:29 BRT 2024","failed","Sun Dec 01 20:21:29 BRT 2024","","movies\post.spec.js","",""
"","63","post ticket teste Omissão de campos obrigatórios","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","77","post ticket teste Preço fora do intervalo permitido maior que 60","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","43","get teste","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\get.spec.js","",""
"","57","put ticket teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\put.spec.js","",""
"","57","post ticket teste Preço fora do intervalo permitido maior que 60","firefox","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","26","post ticket teste Preço fora do intervalo permitido maior que 60","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","75","post ticket teste Preço fora do intervalo permitido menor que 0","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","46","post ticket teste Número de assento inválido menor que 0","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","120","get all teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\get.spec.js","",""
"","54","post ticket teste Número de assento inválido menor que 0","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\post.spec.js","",""
"","82","post teste título duplicado","firefox","Sun Dec 01 20:20:51 BRT 2024","failed","Sun Dec 01 20:20:51 BRT 2024","","movies\post.spec.js","",""
"","115","delete teste inexistente","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\delete.spec.js","",""
"","31","post ticket teste Número de assento inválido maior que 99","chromium","Sun Dec 01 20:21:30 BRT 2024","passed","Sun Dec 01 20:21:30 BRT 2024","","tickets\post.spec.js","",""
"","57","post ticket teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\post.spec.js","",""
"","32","post ticket teste Preço fora do intervalo permitido menor que 0","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","tickets\post.spec.js","",""
"","210","post teste","firefox","Sun Dec 01 20:20:51 BRT 2024","failed","Sun Dec 01 20:20:51 BRT 2024","","movies\post.spec.js","",""
"","67","get teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","tickets\get.spec.js","",""
"","50","post ticket teste Preço fora do intervalo permitido menor que 0","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","tickets\post.spec.js","",""
"","141","get teste","chromium","Sun Dec 01 20:21:29 BRT 2024","passed","Sun Dec 01 20:21:29 BRT 2024","","movies\get.spec.js","",""
"","36","post ticket teste Omissão de campos obrigatórios","webkit","Sun Dec 01 20:20:53 BRT 2024","passed","Sun Dec 01 20:20:53 BRT 2024","","tickets\post.spec.js","",""
"","138","put teste","webkit","Sun Dec 01 20:20:54 BRT 2024","passed","Sun Dec 01 20:20:54 BRT 2024","","movies\put.spec.js","",""
"","186","delete teste","chromium","Sun Dec 01 20:21:29 BRT 2024","failed","Sun Dec 01 20:21:29 BRT 2024","","movies\delete.spec.js","",""
"","131","get teste","firefox","Sun Dec 01 20:20:51 BRT 2024","passed","Sun Dec 01 20:20:51 BRT 2024","","movies\get.spec.js","",""
